funcName,lable,paramList,cyclomaticNum,loopNum,nestingDegree,SLOC,ALOC,localVars,localPtrVars,pointerArgs,callees,callers,height,conditions,cmps,jmps,ptrAssn
main,1,0.11,0.43,0,0.96,0.82,0.68,0.63,0.23,0.1,1,0,1,0.89,0.29,0.38,0.03
parse_args,1,0,0.75,0,0.83,1,0.85,1,0.18,1,0.46,0.03,0.83,1,1,0.97,0.5
userauth_hostbased,1,0.05,0.57,0,0.65,0.11,0.64,0.31,0.31,0,0.25,0,1,0.13,0.51,0.51,0
pubkey_prepare,1,0.05,0.47,0,0.65,0.2,0.64,0.14,0.33,0,0.17,0,0.69,0.15,0.36,0.72,0
ssh_packet_read_poll2,1,0.16,0.91,0,0.62,0.2,0.85,0.23,0.25,0.2,0.3,0,0.54,0.34,0.75,0.97,0.06
_TIFFVGetField,1,0.3,0.75,0,0.6,1,0.63,0.05,0.7,0,0.03,0,1,0.14,0.92,0.89,0
newkeys_from_blob,1,0.16,0.25,0,0.58,0.06,0.32,0.11,0.28,0,0.08,0,0.92,0.08,0.29,0.3,0
userauth_pubkey,1,0.05,0.12,0,0.58,0.03,0.21,0.03,0.14,0,0.05,0,1,0.05,0.03,0.15,0
main,1,0,0.62,0,0.56,0.54,0.77,0.91,0.58,0.5,1,0.13,1,0.4,0.81,0.64,0
client_x11_get_proto,1,0.32,0.43,0,0.54,0.2,0.65,0.34,0.15,0.4,0.12,0,0.77,0.15,0.42,0.49,0.06
newkeys_to_blob,1,0.16,0.2,0,0.54,0.04,0.26,0.03,0.28,0,0.07,0,0.92,0.06,0.27,0.24,0
get_default_root,1,0.3,0.12,0,0.53,0.09,0.2,0.09,0.07,0.14,0.05,0,0.89,0.12,0.13,0.12,0.04
pr_data_xfer,1,0.2,0.3,0,0.53,0.22,0.37,0.13,0,0.14,0.14,0,0.95,0.3,0.59,0.59,0
_TIFFFax3fillruns,1,0.4,0.08,1,0.5,0.14,0.27,0.33,0.03,0.3,0.02,0,1,0.21,0.33,0.23,0.37
order_hostkeyalgs,1,0.16,0.2,0,0.5,0.05,0.33,0.29,0.06,0.1,0.07,0,0.69,0.05,0.07,0.18,0.06
gtStripSeparate,1,0.4,0.23,0,0.47,0.1,0.37,1,0.83,0.1,0.13,0,1,0.16,0.05,0.12,0.11
ssh_proxy_fdpass_connect,1,0.16,0.21,0,0.46,0.07,0.27,0.14,0.02,0.2,0.1,0,0.77,0.09,0.14,0.15,0
x11_open_helper,1,0.05,0.18,0,0.46,0.05,0.31,0.09,0.03,0,0.05,0,0.92,0.06,0.14,0.23,0
client_x11_display_valid,1,0.05,0.06,0,0.46,0.02,0.13,0.06,0,0.1,0.02,0,0.69,0.02,0.03,0.08,0
ssh_packet_set_postauth,1,0.05,0.06,0,0.46,0.02,0.12,0.06,0.08,0,0.01,0,0.92,0.02,0.05,0.08,0
ssh_session,1,0,0.46,0,0.46,0.16,0.61,0.2,0.03,0,0.22,0,0.85,0.15,0.2,0.35,0
pr_cmd_dispatch_phase,1,0.3,0.15,0,0.44,0.12,0.17,0.13,0.07,0,0.14,0.01,0.79,0.16,0.21,0.22,0.04
sudo_edit_open,1,0,0.09,0,0.44,0.12,0.14,0.27,0.34,0.25,0.17,0.19,0.5,0.14,0.05,0.11,0
gtTileSeparate,1,0.4,0.14,0,0.43,0.12,0.4,0.95,0.83,0.1,0.12,0,1,0.17,0.06,0.12,0.11
sshkey_load_file,1,0.11,0.14,0,0.42,0.04,0.21,0.09,0.03,0,0.03,0,0.69,0.06,0.12,0.19,0
png_do_rgb_to_gray,1,0.27,0.24,0.19,0.4,0.12,0.42,0,0,0,0.03,0,0.88,0.22,0.24,0.31,0.13
tcp_print,1,0.5,0,0,0.39,0.29,0,0.43,0.56,0,0.57,0.01,1,0.54,0,0,0
get_process_ttyname,1,0,0.2,0,0.39,0.08,0.33,0.73,0.05,0.25,0.07,0.03,0.67,0.07,0.35,0.29,0
sudo_edit_open_nonwritable,1,0,0.15,0,0.39,0.17,0.27,0.45,0.34,0.25,0.13,0.06,0.33,0.17,0.27,0.27,0
png_combine_row,1,0.27,0.81,0.01,0.38,1,0.54,0,0,0,0.31,0.04,0.94,0.4,0.48,0.53,0.08
mux_session_confirm,1,0.16,0.23,0,0.38,0.08,0.43,0.06,0.35,0.1,0.13,0,1,0.07,0.08,0.17,0
kex_input_kexinit,1,0.16,0.19,0,0.38,0.04,0.23,0.11,0.22,0.1,0.04,0,1,0.08,0.2,0.27,0
key_certify,1,0.11,0.03,0,0.38,0.01,0.08,0.03,0.1,0,0.02,0,1,0.01,0.02,0.02,0
cap_to_text,1,0.2,0.15,0,0.35,0.06,0.2,0.22,0.01,0.14,0.04,0,0.89,0.19,0.23,0.45,0.08
ssh_session2_setup,1,0.16,0.11,0,0.35,0.04,0.26,0.11,0.03,0.1,0.05,0,1,0.03,0.03,0.09,0
packet_read_seqnr,1,0.05,0.03,0,0.35,0.01,0.08,0.06,0,0.1,0.01,0,1,0.01,0.02,0.02,0
kex_input_newkeys,1,0.16,0.03,0,0.31,0.02,0.1,0.03,0.21,0.1,0.02,0,1,0.01,0.02,0.02,0
packet_write_wait,1,0,0.02,0,0.31,0,0.04,0.03,0,0,0.01,0.02,0.77,0.01,0.02,0.01,0
png_do_expand_palette,1,0.45,0.19,0.01,0.28,0.11,0.21,0,0,0,0.02,0,0.88,0.18,0.18,0.22,0.11
fpAcc,1,0.3,0.05,0,0.27,0.04,0.16,0.29,0.6,0.1,0.03,0,1,0.05,0.04,0.04,0.05
babel_print_v2,1,0.3,0.1,0,0.22,0.14,0.16,0.17,0.56,0.25,0.32,0,0.83,0.31,0.11,0.13,0
png_check_keyword,1,0.27,0,0,0.2,0.08,0,0,0,0,0.25,0.03,0.76,0.17,0,0,0.09
ikev1_n_print,1,0.9,0.3,0,0.19,0.17,0.26,0.17,0.63,0.25,0.21,0,1,0.11,0.16,0.29,0
dhcp6opt_print,1,0.3,0.05,0,0.18,0.28,0.09,0.48,0.59,0.5,0.56,0.01,0.83,0.38,0.05,0.04,0
eigrp_print,1,0.3,0,0,0.18,0.07,0.01,0.04,0,0,0.33,0.01,0.67,0.08,0,0,0
juniper_parse_header,1,0.4,0.19,0.01,0.17,0.14,0.33,0.35,0.63,0.25,0.15,0.03,0.94,0.22,0.2,0.27,0
cip_if_print,1,0.3,0.05,0,0.16,0.02,0.09,0.04,0,0,0.04,0,1,0.04,0.01,0.05,0
rpki_rtr_pdu_print,1,0.3,0,0,0.16,0.04,0,0.17,0.59,0.25,0.12,0,0.83,0.03,0,0,0
bootp_print,1,0.3,0.86,0.01,0.12,0.05,0.89,0,0,0,0.22,0,0.89,0.12,0.67,1,0
asn1_parse,1,0.4,0.28,0.02,0.11,0.26,0.34,0.22,0.56,0,0.06,0.06,0.83,0.12,0.3,0.44,0
isis_print_extd_ip_reach,1,0.4,0.16,0,0.11,0.06,0.21,0.43,0.56,0.5,0.09,0.01,1,0.11,0.16,0.25,0
ripng_print,1,0.3,0.12,0,0.1,0.04,0.15,0.09,0.56,0.25,0.06,0,0.89,0.07,0.12,0.12,0
print_trans,1,0.5,0.07,0,0.09,0.03,0.16,0.43,0.81,1,0.09,0,1,0.04,0.08,0.07,0
udp_print,0,0.5,0,0,1,0.22,0,0.13,0.56,0,0.57,0,1,0.4,0,0,0
_TIFFPrintField,0,0.4,0.1,0,1,0.05,0.17,0.05,0.3,0.1,0.11,0,0.89,0.16,0.11,0.06,0
pr_netacl_create,0,0.2,0.37,0,1,0.18,0.32,0.09,0.03,0.14,0.13,0,0.95,0.31,0.99,0.97,0.08
pr_netacl_create,0,0.2,0.37,0,1,0.18,0.32,0.09,0.03,0.14,0.13,0,0.95,0.31,0.99,0.97,0.08
png_push_read_chunk,0,0.18,0.7,0,1,0.21,0.4,0,0,0,1,0,1,0.72,0.6,0.65,0
ssh_packet_set_state,0,0.11,0.45,0,1,0.05,0.42,0.4,0.25,0,0.16,0,1,0.09,0.58,0.56,0
sudo_conversation,0,0,0.06,0,1,0.24,0.16,0.36,0.16,0,0.28,0.03,0.83,0.22,0.08,0.13,0
png_read_end,0,0.18,0,0,0.98,0.06,0,0,0,0,0.48,0.02,0.88,0.34,0,0,0
png_read_end,0,0.18,0,0,0.98,0.06,0,0,0,0,0.48,0.02,0.88,0.34,0,0,0
png_read_info,0,0.18,0,0,0.98,0.08,0,0,0,0,0.49,0.02,0.94,0.39,0,0,0
png_read_info,0,0.18,0,0,0.98,0.08,0,0,0,0,0.49,0.02,0.94,0.39,0,0,0
ssh_packet_get_state,0,0.11,0.38,0,0.96,0.03,0.35,0.14,0.2,0,0.14,0,1,0.06,0.53,0.45,0
get_next_meta,0,0.4,0.03,0,0.94,1,0.09,0.22,0.08,0.29,1,0,0.84,0.92,0.04,0.03,0.19
set_listoptions,0,0.1,0.15,0,0.94,0.07,0.2,0.04,0.12,0,0.1,0,1,0.13,0.06,0.14,0.35
handle_sigchld_nopty,0,0,0.41,0,0.94,0.28,0.52,0.36,0.42,0,0.41,0.03,0.83,0.38,0.46,0.4,0
kexgex_hash,0,1,0.25,0,0.92,0.05,0.27,0.03,0.07,0.7,0.1,0,0.85,0.03,0.36,0.3,0.03
pkcs11_fetch_keys_filter,0,0.32,0.39,0,0.88,0.12,0.53,0.17,1,0.1,0.12,0,0.62,0.15,0.25,0.38,0.08
parse_classes,0,0.3,0.18,0,0.88,0.13,0.18,0.13,0.01,0.43,0.06,0,0.95,0.24,0.17,0.29,0.15
facts_opts_mlst,0,0.1,0.15,0,0.85,0.1,0.22,0.17,0.09,0,0.12,0,1,0.14,0.04,0.15,0.08
